sample,time,s1_ax,s1_ay,s1_az,s1_gx,s1_gy,s1_gz,s2_ax,s2_ay,s2_az,s2_gx,s2_gy,s2_gz
1,1779654437.125686,-0.93115234375,0.169677734375,-0.31103515625,-1.0458015267175573,0.9770992366412213,-7.847328244274809,-0.043701171875,-1.012939453125,0.002685546875,-0.8778625954198473,-0.5648854961832062,1.5419847328244274
2,1779654437.1370344,-0.908935546875,0.240966796875,-0.291259765625,-2.5419847328244276,1.1374045801526718,-5.198473282442748,-0.0390625,-1.0009765625,-0.006591796875,-0.9083969465648855,-1.1908396946564885,0.2366412213740458
3,1779654437.1481261,-0.91748046875,0.19384765625,-0.301513671875,-1.6412213740458015,0.9007633587786259,-4.450381679389313,-0.0439453125,-1.010498046875,-0.010498046875,-0.8091603053435115,-0.6335877862595419,0.030534351145038167
4,1779654437.159203,-0.916748046875,0.179931640625,-0.30126953125,-3.2748091603053435,1.282442748091603,-4.740458015267175,-0.04052734375,-0.991455078125,-0.006103515625,-0.9618320610687023,-0.9312977099236641,0.5343511450381679
5,1779654437.1702833,-0.936279296875,0.150634765625,-0.28955078125,-3.6564885496183206,1.015267175572519,-5.541984732824427,-0.03466796875,-1.00390625,-0.00439453125,-1.083969465648855,-2.4885496183206106,0.15267175572519084
6,1779654437.181423,-0.9267578125,0.189453125,-0.3056640625,-4.984732824427481,1.0229007633587786,-4.076335877862595,-0.028076171875,-1.007568359375,-0.007568359375,-1.465648854961832,-3.6106870229007635,-0.7175572519083969
7,1779654437.1925187,-0.93310546875,0.158203125,-0.3017578125,-4.3816793893129775,0.6946564885496184,-4.1679389312977095,-0.021728515625,-1.006103515625,-0.012451171875,-1.6412213740458015,-3.5267175572519083,-0.7557251908396947
8,1779654437.2036018,-0.9248046875,0.169677734375,-0.29736328125,-4.519083969465649,0.3893129770992366,-4.122137404580153,-0.0166015625,-0.998291015625,-0.0244140625,-1.7633587786259541,-3.030534351145038,-0.8396946564885496
9,1779654437.2146823,-0.92041015625,0.1748046875,-0.299072265625,-4.557251908396947,0.16793893129770993,-3.6717557251908395,-0.02734375,-0.99658203125,-0.03125,-1.83206106870229,-2.213740458015267,-0.6412213740458015
10,1779654437.2257705,-0.92431640625,0.185791015625,-0.298583984375,-3.9389312977099236,0.22137404580152673,-3.618320610687023,-0.033203125,-1.0,-0.013427734375,-1.4045801526717556,-1.2061068702290076,-0.5648854961832062
11,1779654437.2368464,-0.92724609375,0.183349609375,-0.29296875,-3.2900763358778624,0.06870229007633588,-3.4122137404580153,-0.019287109375,-1.013427734375,-0.013671875,-1.465648854961832,-0.5954198473282443,-0.6106870229007634
12,1779654437.247925,-0.93359375,0.17529296875,-0.287353515625,-2.6717557251908395,-0.21374045801526717,-3.381679389312977,-0.032958984375,-1.01025390625,-0.010986328125,-1.099236641221374,-0.3816793893129771,-0.6259541984732825
13,1779654437.2590022,-0.935546875,0.174072265625,-0.2919921875,-2.480916030534351,-0.16030534351145037,-3.1908396946564888,-0.040771484375,-1.00732421875,-0.007568359375,-0.9007633587786259,-0.4580152671755725,-0.48854961832061067
14,1779654437.2700713,-0.9296875,0.184326171875,-0.28466796875,-2.564885496183206,-0.3816793893129771,-3.2519083969465647,-0.029541015625,-1.0087890625,-0.00927734375,-0.8473282442748091,-0.44274809160305345,-0.6641221374045801
15,1779654437.2811484,-0.92626953125,0.184814453125,-0.28857421875,-2.595419847328244,-0.32061068702290074,-3.015267175572519,-0.047607421875,-1.00390625,-0.012939453125,-0.6564885496183206,-0.1984732824427481,-0.37404580152671757
16,1779654437.2922301,-0.926513671875,0.172607421875,-0.298828125,-2.7099236641221376,-0.31297709923664124,-2.969465648854962,-0.0458984375,-1.004150390625,-0.0009765625,-0.6183206106870229,-0.2366412213740458,-0.3816793893129771
17,1779654437.3033078,-0.909912109375,0.192626953125,-0.2861328125,-2.732824427480916,-0.3282442748091603,-2.9083969465648853,-0.048828125,-1.007568359375,0.01123046875,-0.5419847328244275,-0.29770992366412213,-0.4122137404580153
