sample,time,s1_ax,s1_ay,s1_az,s1_gx,s1_gy,s1_gz,s2_ax,s2_ay,s2_az,s2_gx,s2_gy,s2_gz
1,1780506906,-0.910888672,0.172607422,-0.212890625,-2.748091603,0.06870229,-0.267175573,-0.030761719,-0.999267578,0.050048828,0.603053435,0.335877863,2.419847328
2,1780506906,-0.933349609,0.18359375,-0.21484375,-2.27480916,1.946564885,-0.458015267,-0.028808594,-0.999755859,0.051025391,0.534351145,1.114503817,2.526717557
3,1780506906,-0.928222656,0.186767578,-0.21875,-1.442748092,-0.076335878,-0.320610687,-0.016601563,-1.015136719,0.061523438,0.442748092,1.618320611,2.427480916
4,1780506906,-0.932373047,0.176269531,-0.214111328,-0.893129771,-0.145038168,-0.473282443,-0.026855469,-1.010742188,0.054931641,0.549618321,2.038167939,2.267175573
5,1780506906,-0.930908203,0.190673828,-0.211914063,-0.786259542,-0.106870229,-0.320610687,-0.024658203,-1.005859375,0.054443359,0.564885496,2.526717557,2.213740458
6,1780506906,-0.935302734,0.175537109,-0.228271484,-0.618320611,-0.427480916,-0.564885496,-0.03125,-1.004882813,0.046142578,0.091603053,2.496183206,1.778625954
7,1780506906,-0.938232422,0.177978516,-0.212402344,-0.27480916,-0.20610687,-0.664122137,-0.033935547,-1.006347656,0.051757813,0.34351145,2.679389313,1.694656489
8,1780506906,-0.934082031,0.179199219,-0.219482422,-0.114503817,-0.282442748,-0.648854962,-0.033935547,-1.008789063,0.052490234,0.13740458,2.687022901,1.534351145
9,1780506906,-0.928466797,0.194580078,-0.219482422,-0.290076336,-0.229007634,-0.687022901,-0.047607422,-1.002685547,0.058105469,0.099236641,2.335877863,1.740458015
10,1780506906,-0.929931641,0.197509766,-0.223876953,-0.801526718,-0.083969466,-0.969465649,-0.043945313,-1.003417969,0.053466797,-1.93129771,2.06870229,1.694656489
11,1780506906,-0.930664063,0.201171875,-0.213378906,-1.106870229,-0.038167939,-1.061068702,-0.052734375,-1.015380859,0.075439453,0.236641221,1.65648855,1.603053435
12,1780506906,-0.928710938,0.194824219,-0.21875,-1.374045802,0.091603053,-1.267175573,-0.047119141,-1.003417969,0.059570313,-1.946564885,1.06870229,1.572519084
13,1780506906,-0.929199219,0.204101563,-0.223388672,-1.824427481,0.198473282,-1.045801527,-0.051757813,-1.001708984,0.061523438,-0.061068702,0.305343511,1.870229008
14,1780506906,-0.925048828,0.207763672,-0.223876953,-2.427480916,0.328244275,-1.236641221,-0.047363281,-1.001953125,0.059326172,-0.083969466,-0.061068702,1.786259542
15,1780506906,-0.9296875,0.192871094,-0.222900391,-3.145038168,0.763358779,-1.27480916,-0.037597656,-0.994873047,0.056396484,-0.259541985,-0.65648855,1.65648855
16,1780506906,-0.928466797,0.186767578,-0.204833984,-3.129770992,0.633587786,-1.511450382,-0.040527344,-1.015136719,0.051025391,-0.312977099,-0.870229008,1.709923664
17,1780506907,-0.924804688,0.18359375,-0.216308594,-3.458015267,0.65648855,-1.687022901,-0.037597656,-1.001953125,0.059814453,-0.557251908,-0.969465649,1.381679389
18,1780506907,-0.927978516,0.178955078,-0.214355469,-3.534351145,0.709923664,-1.816793893,-0.033935547,-1.003417969,0.060302734,-0.885496183,-1.061068702,1.221374046
19,1780506907,-0.928710938,0.180175781,-0.222412109,-3.702290076,0.816793893,-1.923664122,-0.036376953,-1.001220703,0.040283203,-1.053435115,-1.320610687,1.13740458
20,1780506907,-0.935058594,0.18359375,-0.226074219,-3.526717557,0.603053435,-2.022900763,-0.017822266,-1.003662109,0.049316406,-1.145038168,-1.557251908,0.93129771
21,1780506907,-0.931152344,0.196289063,-0.217529297,-3.717557252,0.709923664,-1.984732824,-0.04296875,-1.011230469,0.055664063,-1.190839695,-1.603053435,1.038167939
22,1780506907,-0.931396484,0.201171875,-0.21484375,-4.129770992,0.893129771,-2.076335878,-0.036376953,-1.006103516,0.053466797,-1.015267176,-3.816793893,1.076335878
23,1780506907,-0.934326172,0.203613281,-0.217285156,-4.27480916,0.961832061,-0.06870229,-0.037841797,-1.012451172,0.057617188,-1.083969466,-1.641221374,1.076335878
24,1780506907,-0.928222656,0.196777344,-0.210449219,-4.297709924,1.038167939,-2.083969466,-0.044921875,-1.002441406,0.068603516,-1.152671756,-1.79389313,1.030534351
25,1780506907,-0.924804688,0.1953125,-0.219238281,-4.328244275,1.038167939,-2.175572519,-0.046875,-1.004638672,0.056640625,-1.076335878,-2.114503817,1.06870229
26,1780506907,-0.934814453,0.189697266,-0.219726563,-4.648854962,1.213740458,-2.526717557,-0.04296875,-1.004394531,0.051269531,-1.175572519,-2.473282443,1.145038168
27,1780506907,-0.926269531,0.196777344,-0.230712891,-5.145038168,1.290076336,-2.526717557,-0.046875,-1.014648438,0.048583984,-1.099236641,-3.198473282,1.053435115
28,1780506907,-0.924560547,0.198730469,-0.227539063,-5.832061069,1.41221374,-2.641221374,-0.038574219,-0.995605469,0.048095703,-1.282442748,-3.877862595,0.938931298
